"","FECHA_DEF","registros_dia_4","registros_dia_5","registros_dia_6","registros_dia_7","registros_dia_8","registros_dia_9","registros_dia_10","registros_dia_11","registros_dia_12","registros_dia_13","registros_dia_14","registros_dia_15","registros_dia_16","registros_dia_17","registros_dia_18","registros_dia_19","registros_dia_20","registros_dia_21","registros_dia_22","registros_dia_23","registros_dia_24","registros_dia_25","registros_dia_26","registros_dia_27","registros_dia_28","registros_dia_29","registros_dia_30","registros_dia_31","registros_dia_32","registros_dia_33","registros_dia_34","registros_dia_35","registros_dia_36","registros_dia_37","registros_dia_38","registros_dia_39","registros_dia_40","registros_dia_41","registros_dia_42","registros_dia_43","registros_dia_44","registros_dia_45","registros_dia_46","registros_dia_47","registros_dia_48","registros_dia_49","registros_dia_50","registros_dia_51","registros_dia_52","registros_dia_53","registros_dia_54","registros_dia_55","registros_dia_56","registros_dia_57","registros_dia_58","registros_dia_59","registros_dia_60","acumulados_estimados","tasa_4dias","tasa_suave","Estado","Abreviatura","por_dia_suave","suave_duplex"
"50","2020-05-31",6,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.00000000000001,137,1.25688073394495,1.23362243980161,"TAMAULIPAS","TS",7.25,13.2056386167682
"51","2020-06-01",2,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,143,1.20168067226891,1.22291175929011,"TAMAULIPAS","TS",5.8125,13.7778856226883
"52","2020-06-02",5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00000000000001,6.00000000000001,149,1.23140495867769,1.22081014740607,"TAMAULIPAS","TS",5.93750000000001,13.8966643112239
"53","2020-06-03",2,3,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.00000000000001,7.00000000000001,156,1.21875,1.21102186010738,"TAMAULIPAS","TS",6.68750000000001,14.4809533619801
"54","2020-06-04",4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00000000000001,5.00000000000001,161,1.17518248175182,1.17724377584095,"TAMAULIPAS","TS",5.75000000000001,16.9914082277037
"55","2020-06-05",0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,163,1.13986013986014,1.14057132795192,"TAMAULIPAS","TS",3.75,21.0796277761648
"56","2020-06-06",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,165,1.10738255033557,1.11109220756872,"TAMAULIPAS","TS",3.75,26.3195039185935
"57","2020-06-07",4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00000000000001,170,1.08974358974359,1.09656215295258,"TAMAULIPAS","TS",5.12500000000001,30.0779953926596
"58","2020-06-08",6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000002,7.00000000000002,7.00000000000002,7.00000000000002,7.00000000000002,7.00000000000002,7.00000000000002,177,1.09937888198758,1.10433392738674,"TAMAULIPAS","TS",6.00000000000002,27.9375497601526
"59","2020-06-09",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000001,7.00000000000002,7.00000000000002,184,1.12883435582822,1.13168614083525,"TAMAULIPAS","TS",6.06250000000001,22.4122406689402
"60","2020-06-10",7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.00000000000001,9.00000000000001,9.00000000000001,9.00000000000001,9.00000000000001,9.00000000000001,9.00000000000001,193,1.16969696969697,1.15823354439378,"TAMAULIPAS","TS",7.25000000000001,18.8744962875378
"61","2020-06-11",3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00000000000001,5.00000000000001,198,1.16470588235294,1.16997492371371,"TAMAULIPAS","TS",5.12500000000001,17.6617901647695
"62","2020-06-12",7,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,209,1.18079096045198,1.17369151603162,"TAMAULIPAS","TS",8.50000000000003,17.3120249454639
"63","2020-06-13",4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000001,6.00000000000002,6.00000000000002,6.00000000000002,215,1.16847826086957,1.18125034205037,"TAMAULIPAS","TS",6.25000000000002,16.6448378571892
"64","2020-06-14",14,15,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,233,1.20725388601036,1.20761519509126,"TAMAULIPAS","TS",13.2500000000001,14.6971929015953
"65","2020-06-15",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,14.0000000000001,247,1.24747474747475,1.23535945768016,"TAMAULIPAS","TS",11.8125000000001,13.1177264516251
"66","2020-06-16",7,7,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0000000000001,12.0000000000001,12.0000000000001,259,1.23923444976077,1.25009056291186,"TAMAULIPAS","TS",11.1250000000001,12.4211021361423
"67","2020-06-17",5,6,8,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,15.0000000000001,274.000000000001,1.27441860465116,1.26032263579582,"TAMAULIPAS","TS",13.1250000000001,11.9834710849739
"68","2020-06-18",8,8,9,9,11,12,12,12,12,12,14,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,18.0000000000001,292.000000000001,1.25321888412017,1.25403266113587,"TAMAULIPAS","TS",15.1875000000001,12.2483378628139
"69","2020-06-19",2,5,6,6,7,7,7,7,7,9,11,11,11,11,11,12,12,12,13,13,13,13,13,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980392,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,13.1127450980393,305.11274509804,1.23527427165198,1.23317823088033,"TAMAULIPAS","TS",13.2509191176471,13.228330064102
"70","2020-06-20",5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8.0041383911353,8.0041383911353,8.0041383911353,8.0041383911353,8.0041383911353,8.0041383911353,8.0041383911353,8.0041383911353,8.00413839113531,8.00413839113531,8.00413839113531,8.00413839113531,8.00413839113531,8.00413839113531,8.00413839113531,8.00413839113531,8.00413839113532,8.00413839113532,8.00413839113532,8.00413839113532,8.00413839113532,8.00413839113533,8.00413839113533,8.00413839113533,8.00413839113533,8.00413839113533,8.00413839113534,8.00413839113534,8.00413839113535,8.00413839113535,8.00413839113535,8.00413839113535,8.00413839113535,8.00413839113535,313.116883489175,1.2089454960972,1.21106222648526,"TAMAULIPAS","TS",10.5093744136411,14.4784328206756
"71","2020-06-21",5,5,5,5,7,7,8,8,10,10,10,10,10,12,13,13,13,13,13,13,13,13.070985915493,13.070985915493,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447645,13.2400344447646,13.2400344447646,13.2400344447646,13.2400344447646,326.35691793394,1.19108364209467,1.19711609026439,"TAMAULIPAS","TS",13.5798245932535,15.4105130876553
"72","2020-06-22",12,16,18,20,20,21,21,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23.2697436511941,23.2697436511941,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511942,23.2697436511943,23.2697436511943,23.2697436511943,23.2697436511943,23.2697436511943,23.2697436511943,23.2697436511943,23.2697436511943,23.2697436511943,23.2697436511943,23.2697436511943,23.2697436511943,23.2697436511944,349.626661585134,1.197351580771,1.19719136577358,"TAMAULIPAS","TS",18.924038174668,15.4051291407368
"73","2020-06-23",5,8,10,10,13,14,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17.1070975918885,17.1887594921357,17.1887594921357,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963521,17.4174594963522,17.4174594963522,17.4174594963522,17.4174594963522,17.4174594963522,17.4174594963522,17.4174594963522,367.044121081486,1.20297865945766,1.2007486922849,"TAMAULIPAS","TS",16.211487315769,15.155290348038
