"","ENTIDAD_RES","MUNICIPIO_RES","Nombre_Estado","Municipio","UCI","positivos","decesos","municipio","Defunciones_2018","porc_aumento","porc_mortalidad"
"460",6,7,"COLIMA","MANZANILLO",45,521,71,"Manzanillo",1137,0.0624450307827617,0.136276391554703
"461",6,9,"COLIMA","TECOMÁN",4,166,18,"Tecomán",891,0.0202020202020202,0.108433734939759
"462",7,101,"CHIAPAS","TUXTLA GUTIÉRREZ",69,2198,325,"Tuxtla Gutiérrez",3198,0.101626016260163,0.14786169244768
"463",7,106,"CHIAPAS","VENUSTIANO CARRANZA",3,74,16,"Venustiano Carranza",362,0.0441988950276243,0.216216216216216
"464",7,19,"CHIAPAS","COMITÁN DE DOMÍNGUEZ",5,126,26,"Comitán de Domínguez",791,0.0328697850821745,0.206349206349206
"465",7,27,"CHIAPAS","CHIAPA DE CORZO",8,138,32,"Chiapa de Corzo",523,0.0611854684512428,0.231884057971014
"466",7,40,"CHIAPAS","HUIXTLA",3,98,19,"Huixtla",371,0.0512129380053908,0.193877551020408
"467",7,59,"CHIAPAS","OCOSINGO",10,68,21,"Ocosingo",692,0.0303468208092486,0.308823529411765
"468",7,61,"CHIAPAS","OCOZOCOAUTLA DE ESPINOSA",4,85,19,"Ocozocoautla de Espinosa",434,0.043778801843318,0.223529411764706
"469",7,65,"CHIAPAS","PALENQUE",8,102,11,"Palenque",563,0.019538188277087,0.107843137254902
"470",7,68,"CHIAPAS","PICHUCALCO",0,68,1,"Pichucalco",203,0.00492610837438424,0.0147058823529412
"471",7,74,"CHIAPAS","REFORMA",10,90,9,"Reforma",232,0.0387931034482759,0.1
"472",7,78,"CHIAPAS","SAN CRISTÓBAL DE LAS CASAS",11,300,33,"San Cristóbal de las Casas",972,0.0339506172839506,0.11
"473",7,89,"CHIAPAS","TAPACHULA",23,846,160,"Tapachula",2264,0.0706713780918728,0.189125295508274
"474",7,9,"CHIAPAS","ARRIAGA",7,55,10,"Arriaga",303,0.033003300330033,0.181818181818182
"475",7,97,"CHIAPAS","TONALÁ",11,113,22,"Tonalá",560,0.0392857142857143,0.194690265486726
"476",8,17,"CHIHUAHUA","CUAUHTÉMOC",4,64,8,"Cuauhtémoc",1169,0.00684345594525235,0.125
"477",8,19,"CHIHUAHUA","CHIHUAHUA",48,810,140,"Chihuahua",5923,0.0236366706061118,0.172839506172839
"478",8,21,"CHIHUAHUA","DELICIAS",4,199,21,"Delicias",989,0.0212335692618807,0.105527638190955
"479",8,32,"CHIHUAHUA","HIDALGO DEL PARRAL",4,98,7,"Hidalgo del Parral",824,0.00849514563106796,0.0714285714285714
"480",8,37,"CHIHUAHUA","JUÁREZ",461,2501,632,"Juárez",8831,0.0715660740572982,0.252698920431827
"481",9,10,"CDMX","ÁLVARO OBREGÓN",90,4212,544,"Álvaro Obregón",4899,0.111043070014289,0.129154795821462
"482",9,11,"CDMX","TLÁHUAC",43,3057,190,"Tláhuac",1912,0.0993723849372385,0.0621524370297677
"483",9,12,"CDMX","TLALPAN",121,4621,349,"Tlalpan",3874,0.0900877645844089,0.0755247781865397
"484",9,13,"CDMX","XOCHIMILCO",74,3844,267,"Xochimilco",2563,0.10417479516192,0.0694588969823101
"485",9,14,"CDMX","BENITO JUÁREZ",63,2009,230,"Benito Juárez",3145,0.0731319554848967,0.114484818317571
"486",9,15,"CDMX","CUAUHTÉMOC",87,3401,503,"Cuauhtémoc",4286,0.117358842743817,0.147897677153778
"487",9,16,"CDMX","MIGUEL HIDALGO",47,2355,237,"Miguel Hidalgo",2925,0.081025641025641,0.100636942675159
"488",9,17,"CDMX","VENUSTIANO CARRANZA",76,3030,413,"Venustiano Carranza",3682,0.112167300380228,0.136303630363036
"489",9,2,"CDMX","AZCAPOTZALCO",47,3475,460,"Azcapotzalco",3583,0.128384035724253,0.132374100719424
"490",9,3,"CDMX","COYOACÁN",98,3778,388,"Coyoacán",4445,0.087289088863892,0.102699841185813
"491",9,4,"CDMX","CUAJIMALPA DE MORELOS",22,1357,107,"Cuajimalpa de Morelos",982,0.108961303462322,0.0788504053058217
"492",9,5,"CDMX","GUSTAVO A. MADERO",198,7360,1280,"Gustavo A. Madero",9664,0.132450331125828,0.173913043478261
"493",9,6,"CDMX","IZTACALCO",61,2935,440,"Iztacalco",3269,0.134597736310798,0.149914821124361
"494",9,7,"CDMX","IZTAPALAPA",298,9832,1464,"Iztapalapa",11576,0.126468555632343,0.148901545972335
"495",9,8,"CDMX","LA MAGDALENA CONTRERAS",24,1744,127,"La Magdalena Contreras",1527,0.08316961362148,0.0728211009174312
"496",9,9,"CDMX","MILPA ALTA",14,1842,67,"Milpa Alta",723,0.0926694329183956,0.0363735070575461
