"","ENTIDAD_RES","MUNICIPIO_RES","Nombre_Estado","UCI","positivos","decesos","Nombre_municipio","Defunciones_2018","porc_aumento","CFR_municipal"
"294",16,50,"MICHOACÁN",5,324,11,"Maravatío",462,0.0238095238095238,0.0339506172839506
"295",16,52,"MICHOACÁN",25,4164,223,"Lázaro Cárdenas",855,0.260818713450292,0.0535542747358309
"296",16,53,"MICHOACÁN",50,3628,290,"Morelia",3949,0.0734363129906305,0.0799338478500551
"297",16,55,"MICHOACÁN",9,398,56,"Múgica",278,0.201438848920863,0.14070351758794
"298",16,6,"MICHOACÁN",7,696,56,"Apatzingán",825,0.0678787878787879,0.0804597701149425
"299",16,60,"MICHOACÁN",0,53,8,"Numarán",67,0.119402985074627,0.150943396226415
"300",16,65,"MICHOACÁN",6,196,30,"Paracho",148,0.202702702702703,0.153061224489796
"301",16,66,"MICHOACÁN",6,685,50,"Pátzcuaro",535,0.0934579439252336,0.072992700729927
"302",16,69,"MICHOACÁN",3,576,38,"La Piedad",650,0.0584615384615385,0.0659722222222222
"303",16,70,"MICHOACÁN",0,85,3,"Purépero",139,0.0215827338129496,0.0352941176470588
"304",16,71,"MICHOACÁN",1,94,13,"Puruándiro",464,0.0280172413793103,0.138297872340426
"305",16,73,"MICHOACÁN",0,96,6,"Quiroga",163,0.0368098159509202,0.0625
"306",16,75,"MICHOACÁN",0,142,18,"Los Reyes",433,0.0415704387990762,0.126760563380282
"307",16,76,"MICHOACÁN",12,102,10,"Sahuayo",448,0.0223214285714286,0.0980392156862745
"308",16,77,"MICHOACÁN",1,85,4,"San Lucas",97,0.0412371134020619,0.0470588235294118
"309",16,82,"MICHOACÁN",4,162,22,"Tacámbaro",442,0.0497737556561086,0.135802469135802
"310",16,85,"MICHOACÁN",1,91,4,"Tangancícuaro",275,0.0145454545454545,0.043956043956044
"311",16,88,"MICHOACÁN",10,221,26,"Tarímbaro",343,0.075801749271137,0.117647058823529
"312",16,89,"MICHOACÁN",0,102,0,"Tepalcatepec",149,0,0
"313",16,9,"MICHOACÁN",1,193,7,"Ario",212,0.0330188679245283,0.0362694300518135
"314",16,93,"MICHOACÁN",2,104,4,"Tlalpujahua",209,0.0191387559808612,0.0384615384615385
"315",16,98,"MICHOACÁN",3,52,5,"Tuxpan",172,0.0290697674418605,0.0961538461538462
"316",17,11,"MORELOS",9,575,93,"Jiutepec",1125,0.0826666666666667,0.161739130434783
"317",17,12,"MORELOS",4,227,49,"Jojutla",429,0.114219114219114,0.215859030837004
"318",17,17,"MORELOS",2,194,60,"Puente de Ixtla",381,0.15748031496063,0.309278350515464
"319",17,18,"MORELOS",5,218,55,"Temixco",755,0.0728476821192053,0.252293577981651
"320",17,19,"MORELOS",4,71,24,"Tepalcingo",171,0.140350877192982,0.338028169014085
"321",17,20,"MORELOS",3,89,11,"Tepoztlán",245,0.0448979591836735,0.123595505617978
"322",17,24,"MORELOS",1,129,30,"Tlaltizapán de Zapata",350,0.0857142857142857,0.232558139534884
"323",17,25,"MORELOS",0,88,21,"Tlaquiltenango",213,0.0985915492957746,0.238636363636364
"324",17,26,"MORELOS",0,80,20,"Tlayacapan",126,0.158730158730159,0.25
"325",17,28,"MORELOS",6,159,39,"Xochitepec",402,0.0970149253731343,0.245283018867925
"326",17,29,"MORELOS",2,204,37,"Yautepec",653,0.0566615620214395,0.181372549019608
"327",17,3,"MORELOS",1,120,38,"Axochiapan",211,0.180094786729858,0.316666666666667
"328",17,30,"MORELOS",2,123,16,"Yecapixtla",258,0.062015503875969,0.130081300813008
"329",17,31,"MORELOS",4,214,48,"Zacatepec",296,0.162162162162162,0.224299065420561
"330",17,4,"MORELOS",2,287,35,"Ayala",521,0.0671785028790787,0.121951219512195
"331",17,6,"MORELOS",15,946,151,"Cuautla",1208,0.125,0.159619450317125
"332",17,7,"MORELOS",35,1479,244,"Cuernavaca",2860,0.0853146853146853,0.164976335361731
"333",17,8,"MORELOS",4,184,28,"Emiliano Zapata",490,0.0571428571428571,0.152173913043478
"334",18,1,"NAYARIT",2,144,32,"Acaponeta",241,0.132780082987552,0.222222222222222
"335",18,10,"NAYARIT",3,119,24,"Rosamorada",240,0.1,0.201680672268908
"336",18,11,"NAYARIT",2,58,14,"Ruíz",140,0.1,0.241379310344828
"337",18,12,"NAYARIT",1,106,27,"San Blas",244,0.110655737704918,0.254716981132075
"338",18,14,"NAYARIT",3,51,12,"Santa María del Oro",130,0.0923076923076923,0.235294117647059
"339",18,15,"NAYARIT",4,467,69,"Santiago Ixcuintla",648,0.106481481481481,0.147751605995717
"340",18,16,"NAYARIT",3,152,51,"Tecuala",294,0.173469387755102,0.335526315789474
"341",18,17,"NAYARIT",19,3102,260,"Tepic",2181,0.119211370930766,0.0838168923275306
"342",18,18,"NAYARIT",6,193,39,"Tuxpan",180,0.216666666666667,0.202072538860104
"343",18,20,"NAYARIT",133,630,79,"Bahía de Banderas",569,0.13884007029877,0.125396825396825
