"","Abreviatura","FECHA_DEF","acumulados_estimados","tasa_4dias","tasa_suave","Estado","suave_duplex","Poblacion2010","per_capita"
"1711","EUM","2020-07-31",53613.8677872963,1.04845429023079,1.04868550020447,"Nacional",58.3242737200913,112336538,0.47726117202665
"1712","EUM","2020-08-01",54228.9158847917,1.04696952913011,1.04720863006476,"Nacional",60.1061850410508,112336538,0.482736221449086
"1713","EUM","2020-08-02",54815.1693766849,1.04644117176802,1.04642567871037,"Nacional",61.0968261147624,112336538,0.487954946383383
"1714","EUM","2020-08-03",55460.1067231954,1.04585084217534,1.0462787895614,"Nacional",61.2864134024104,112336538,0.493696064616086
"1715","EUM","2020-08-04",56132.2345831935,1.04697230212691,1.04653070243586,"Nacional",60.9620075509378,112336538,0.49967922799253
"1716","EUM","2020-08-05",56741.198573126,1.04632736331428,1.04643026322079,"Nacional",61.0909282671671,112336538,0.505100117765121
"1717","EUM","2020-08-06",57341.8211164972,1.04609402412769,1.04571934190524,"Nacional",62.0196365093512,112336538,0.510446753455205
"1718","EUM","2020-08-07",57920.4255402502,1.0443619560513,1.04433730664629,"Nacional",63.9102619002973,112336538,0.515597387737284
"1719","EUM","2020-08-08",58519.610950519,1.04253129035487,1.04274095270003,"Nacional",66.2462296748701,112336538,0.520931230322577
"1720","EUM","2020-08-09",59098.1867699601,1.04153927403907,1.04164592066724,"Nacional",67.952144770639,112336538,0.526081609974131
"1721","EUM","2020-08-10",59691.3359631318,1.04097384423598,1.04112041486868,"Nacional",68.803072184331,112336538,0.531361719222038
"1722","EUM","2020-08-11",60294.8558332822,1.04099469696372,1.04064826710951,"Nacional",69.5863610800827,112336538,0.536734146402858
"1723","EUM","2020-08-12",60838.7332002266,1.03962983027465,1.03969735494953,"Nacional",71.2204601503411,112336538,0.541575646565026
"1724","EUM","2020-08-13",61375.5390780783,1.03853506228512,1.03842868043421,"Nacional",73.5265262608002,112336538,0.546354197581541
"1725","EUM","2020-08-14",61900.7968492756,1.03701476689194,1.03692106771476,"Nacional",76.4729486099894,112336538,0.551029949394342
"1726","EUM","2020-08-15",62412.3915616593,1.03511967479004,1.03544109902167,"Nacional",79.6091377485496,112336538,0.555584075073235
"1727","EUM","2020-08-16",62938.2948943683,1.03451027961466,1.03464323273752,"Nacional",81.411046935959,112336538,0.560265573560476
"1728","EUM","2020-08-17",63488.8644141141,1.03443269693073,1.03429710988195,"Nacional",82.2188051032956,112336538,0.5651666460837
"1729","EUM","2020-08-18",63993.8340115527,1.03381276605168,1.03404593298768,"Nacional",82.8152677245899,112336538,0.569661796160682
"1730","EUM","2020-08-19",64542.2458119312,1.03412550291664,1.0339467079137,"Nacional",83.0533266279588,112336538,0.574543661047586
"1731","EUM","2020-08-20",65060.7667749025,1.03372305976983,1.033537794702,"Nacional",84.0492462383664,112336538,0.579159442984637
"1732","EUM","2020-08-21",65557.3034499976,1.03257955635168,1.03286783502632,"Nacional",85.7345070576422,112336538,0.583579524677871
"1733","EUM","2020-08-22",66079.3397955753,1.03258916763209,1.03226600384139,"Nacional",87.3080587982345,112336538,0.58822659992936
"1734","EUM","2020-08-23",66562.8133464026,1.03130612374969,1.03145620540066,"Nacional",89.5203712862058,112336538,0.592530395999943
"1735","EUM","2020-08-24",67053.1490811764,1.03062340647117,1.03074084872615,"Nacional",91.5716271630991,112336538,0.596895278018772
"1736","EUM","2020-08-25",67550.9310870924,1.03041045821257,1.03025038714632,"Nacional",93.0340612813525,112336538,0.601326445426798
"1737","EUM","2020-08-26",68032.4617552921,1.02955722568898,1.02966299606826,"Nacional",94.8491521613164,112336538,0.605612946299735
"1738","EUM","2020-08-27",68501.5933818199,1.02912707468249,1.02919784792261,"Nacional",96.3383120731008,112336538,0.609789073095878
"1739","EUM","2020-08-28",68996.3504570761,1.02898001663646,1.02889170430315,"Nacional",97.3445862486318,112336538,0.614193313105983
"1740","EUM","2020-08-29",69474.7619645043,1.02847970925718,1.02862306543223,"Nacional",98.2453151361971,112336538,0.618452047761204
"1741","EUM","2020-08-30",69974.9808374734,1.02855282657812,1.02865910865996,"Nacional",98.1234837557925,112336538,0.622904907728894
"1742","EUM","2020-08-31",70491.6381187792,1.02905107222641,1.02884132810636,"Nacional",97.5122162395829,112336538,0.627504099501261
"1743","EUM","2020-09-01",70977.2592336734,1.0287103413945,1.02872082987883,"Nacional",97.9155671200965,112336538,0.631827012807475
"1744","EUM","2020-09-02",71448.6486451748,1.02841156449991,1.0283362051711,"Nacional",99.2259933981592,112336538,0.636023238006274
"1745","EUM","2020-09-03",71921.079541087,1.02781135029009,1.02770695773093,"Nacional",101.448300207208,112336538,0.640228734315161
"1746","EUM","2020-09-04",72380.3604661397,1.02679356584363,1.02688425772063,"Nacional",104.510731141629,112336538,0.644317171908393
"1747","EUM","2020-09-05",72832.5017953088,1.02613854890519,1.02621925996699,"Nacional",107.126576103056,112336538,0.64834205408136
"1748","EUM","2020-09-06",73292.4793520912,1.02580637621396,1.02585063075157,"Nacional",108.634597613307,112336538,0.652436692967084
"1749","EUM","2020-09-07",73765.9430953704,1.02565122167319,1.0255913083336,"Nacional",109.721486684017,112336538,0.656651383500624
"1750","EUM","2020-09-08",74208.4287991873,1.02525641377405,1.02537276932102,"Nacional",110.654691524746,112336538,0.660590313003836
"1751","EUM","2020-09-09",74677.132612161,1.02532702806278,1.02517191341081,"Nacional",111.526675514784,112336538,0.664762631479359
"1752","EUM","2020-09-10",75108.4605800236,1.02477718374362,1.02475506910984,"Nacional",113.381492011344,112336538,0.668602236789811
"1753","EUM","2020-09-11",75546.5704094389,1.02413888088933,1.02431637648204,"Nacional",115.402202283618,112336538,0.672502213032762
"1754","EUM","2020-09-12",76005.0564472554,1.02421056040588,1.02405528134574,"Nacional",116.639845891919,112336538,0.676583574680353
"1755","EUM","2020-09-13",76444.0774831061,1.02366112368189,1.02383340262101,"Nacional",117.712908065798,112336538,0.68049166232189
"1756","EUM","2020-09-14",76896.1022324685,1.02380080271437,1.02377826428842,"Nacional",117.982677607304,112336538,0.684515506722029
"1757","EUM","2020-09-15",77348.3808962321,1.02385032804306,1.02377481221933,"Nacional",117.99960880457,112336538,0.688541611423277
"1758","EUM","2020-09-16",77798.6078140761,1.02359779007684,1.02361342624582,"Nacional",118.796676087828,112336538,0.692549451845098
"1759","EUM","2020-09-17",78233.4649143661,1.02340779678655,1.02335973472172,"Nacional",120.07189281536,112336538,0.696420472868463
"1760","EUM","2020-09-18",78666.6776819286,1.02302555523695,1.02308637955444,"Nacional",121.477319114279,112336538,0.700276856332608
"1761","EUM","2020-09-19",79118.6231979814,1.0228866109573,1.02292518408459,"Nacional",122.321797123298,112336538,0.704299995411835
"1762","EUM","2020-09-20",79580.3483550241,1.0229019591868,1.02298385117393,"Nacional",122.01307837649,112336538,0.708410191126097
"1763","EUM","2020-09-21",80051.9920556587,1.02324487536482,1.02324487536482,"Nacional",NA,112336538,0.712608679961801
"1764","GR","2020-04-12",7,NA,NA,"GUERRERO",NA,3388768,0.00206564745653878
"1765","GR","2020-04-13",8,NA,NA,"GUERRERO",NA,3388768,0.00236073995033003
"1766","GR","2020-04-14",9,NA,NA,"GUERRERO",NA,3388768,0.00265583244412129
"1767","GR","2020-04-15",12,NA,NA,"GUERRERO",NA,3388768,0.00354110992549505
"1768","GR","2020-04-16",12,1.71428571428571,1.71428571428571,"GUERRERO",5.14398278740373,3388768,0.00354110992549505
"1769","GR","2020-04-17",13,1.625,1.68551587301587,"GUERRERO",5.31074345806168,3388768,0.0038362024192863
"1770","GR","2020-04-18",16,1.77777777777778,1.71180555555556,"GUERRERO",5.15783733393422,3388768,0.00472147990066006
"1771","GR","2020-04-19",20,1.66666666666667,1.75694444444444,"GUERRERO",4.91963424929998,3388768,0.00590184987582508
"1772","GR","2020-04-20",23,1.91666666666667,1.95192307692308,"GUERRERO",4.14552363659715,3388768,0.00678712735719884
"1773","GR","2020-04-21",30,2.30769230769231,2.14863782051282,"GUERRERO",3.62508527382351,3388768,0.00885277481373762
"1774","GR","2020-04-22",33,2.0625,2.05817307692308,"GUERRERO",3.84111494168285,3388768,0.00973805229511138
"1775","GR","2020-04-23",36,1.8,1.81779891304348,"GUERRERO",4.63933456009262,3388768,0.0106233297764851
"1776","GR","2020-04-24",37,1.60869565217391,1.59601449275362,"GUERRERO",5.93054953924495,3388768,0.0109184222702764
"1777","GR","2020-04-25",41,1.36666666666667,1.40368906455863,"GUERRERO",8.17622386576159,3388768,0.0120987922454414
"1778","GR","2020-04-26",42,1.27272727272727,1.32525252525253,"GUERRERO",9.84573482013544,3388768,0.0123938847392327
"1779","GR","2020-04-27",50,1.38888888888889,1.38424788424788,"GUERRERO",8.52692441900369,3388768,0.0147546246895627
"1780","GR","2020-04-28",55,1.48648648648649,1.45022156302644,"GUERRERO",7.45888295136969,3388768,0.016230087158519
"1781","GR","2020-04-29",59,1.4390243902439,1.45422905483881,"GUERRERO",7.4039176218696,3388768,0.017410457133684
"1782","GR","2020-04-30",61,1.45238095238095,1.40094657375145,"GUERRERO",8.22365143668604,3388768,0.0180006421212665
"1783","GR","2020-05-01",63,1.26,1.31582251082251,"GUERRERO",10.1019055127864,3388768,0.018590827108849
"1784","GR","2020-05-02",71,1.29090909090909,1.27825115562404,"GUERRERO",11.2939689285748,3388768,0.020951567059179
"1785","GR","2020-05-03",75,1.27118644067797,1.28209098486953,"GUERRERO",11.1576431977617,3388768,0.022131937034344
"1786","GR","2020-05-04",79,1.29508196721311,1.29867092710938,"GUERRERO",10.6090690508617,3388768,0.0233123070095091
"1787","GR","2020-05-05",84,1.33333333333333,1.3214230739629,"GUERRERO",9.94796118059929,3388768,0.0247877694784653
"1788","GR","2020-05-06",94,1.32394366197183,1.32863849765258,"GUERRERO",9.75732025777278,3388768,0.0277386944163779
"1789","GR","2020-05-07",100,1.33333333333333,1.32676650621026,"GUERRERO",9.80597656170333,3388768,0.0295092493791254
"1790","GR","2020-05-08",104,1.31645569620253,1.3338230861965,"GUERRERO",9.62539583691536,3388768,0.0306896193542904
"1791","GR","2020-05-09",115,1.36904761904762,1.33544624421274,"GUERRERO",9.58492702908272,3388768,0.0339356367859942
"1792","GR","2020-05-10",121,1.28723404255319,1.3083789260385,"GUERRERO",10.3151157665303,3388768,0.0357061917487417
"1793","GR","2020-05-11",129,1.29,1.29373158756137,"GUERRERO",10.7660493525365,3388768,0.0380669316990718
"1794","GR","2020-05-12",136,1.30769230769231,1.28938963210702,"GUERRERO",10.9084476666425,3388768,0.0401325791556105
"1795","GR","2020-05-13",144,1.25217391304348,1.26705962022168,"GUERRERO",11.7135654668046,3388768,0.0424933191059406
"1796","GR","2020-05-14",152,1.25619834710744,1.26091009367505,"GUERRERO",11.9593831394816,3388768,0.0448540590562706
"1797","GR","2020-05-15",165,1.27906976744186,1.28262858814485,"GUERRERO",11.1388509196869,3388768,0.0486902614755569
"1798","GR","2020-05-16",179,1.31617647058824,1.31639734382125,"GUERRERO",10.0858553250369,3388768,0.0528215563886345
"1799","GR","2020-05-17",195,1.35416666666667,1.3531669246646,"GUERRERO",9.16716702374796,3388768,0.0575430362892945
"1800","GR","2020-05-18",211,1.38815789473684,1.37049940191388,"GUERRERO",8.79697615506243,3388768,0.0622645161899546
"1801","GR","2020-05-19",223,1.35151515151515,1.3663724684362,"GUERRERO",8.8819646878983,3388768,0.0658056261154496
"1802","GR","2020-05-20",246,1.37430167597765,1.3622091130471,"GUERRERO",8.96965185722241,3388768,0.0725927534726485
"1803","GR","2020-05-21",263,1.34871794871795,1.35087278197898,"GUERRERO",9.21888787756909,3388768,0.0776093258670998
"1804","GR","2020-05-22",281,1.33175355450237,1.33825805815265,"GUERRERO",9.51573610853402,3388768,0.0829209907553424
"1805","GR","2020-05-23",299,1.34080717488789,1.32651270777686,"GUERRERO",9.8126159210986,3388768,0.0882326556435849
"1806","GR","2020-05-24",318,1.29268292682927,1.30949002519744,"GUERRERO",10.2826423246821,3388768,0.0938394130256188
"1807","GR","2020-05-25",345,1.31178707224335,1.3046870436297,"GUERRERO",10.4247081391236,3388768,0.101806910357983
"1808","GR","2020-05-26",366,1.30249110320285,1.305279276184,"GUERRERO",10.4069503329723,3388768,0.108003852727599
"1809","GR","2020-05-27",390,1.30434782608696,1.29776524230331,"GUERRERO",10.6374651981955,3388768,0.115086072578589
"1810","GR","2020-05-28",407,1.27987421383648,1.27689362865737,"GUERRERO",11.3430658859409,3388768,0.12010264497304
"1811","GR","2020-05-29",429,1.24347826086957,1.24635249263707,"GUERRERO",12.5900127610596,3388768,0.126594679836448
"1812","GR","2020-05-30",446,1.21857923497268,1.22080020834476,"GUERRERO",13.8972314017743,3388768,0.131611252230899
"1813","GR","2020-05-31",469,1.2025641025641,1.20690966100802,"GUERRERO",14.7428645982013,3388768,0.138398379588098
"1814","GR","2020-06-01",490,1.2039312039312,1.20447142947143,"GUERRERO",14.9031200680699,3388768,0.144595321957714
"1815","GR","2020-06-02",518,1.20745920745921,1.20516083520568,"GUERRERO",14.8574228920778,3388768,0.15285791178387
"1816","GR","2020-06-03",536,1.20179372197309,1.19753778225433,"GUERRERO",15.3804050796194,3388768,0.158169576672112
"1817","GR","2020-06-04",553,1.17910447761194,1.18387822031965,"GUERRERO",16.4257093323988,3388768,0.163186149066563
"1818","GR","2020-06-05",576,1.17551020408163,1.16969338360596,"GUERRERO",17.6889087036701,3388768,0.169973276423762
"1819","GR","2020-06-06",595,1.14864864864865,1.1569145619119,"GUERRERO",19.0220456811652,3388768,0.175580033805796
"1820","GR","2020-06-07",619,1.15485074626866,1.15437053710481,"GUERRERO",19.3137455725549,3388768,0.182662253656786
"1821","GR","2020-06-08",641,1.15913200723327,1.15517105129491,"GUERRERO",19.2209283275469,3388768,0.189154288520194
"1822","GR","2020-06-09",661,1.14756944444444,1.15096268201373,"GUERRERO",19.7198735443898,3388768,0.195056138396019
"1823","GR","2020-06-10",684,1.14957983193277,1.14520408644745,"GUERRERO",20.4494039279769,3388768,0.201843265753218
"1824","GR","2020-06-11",702,1.13408723747981,1.13524980917239,"GUERRERO",21.8567537124323,3388768,0.20715493064146
"1825","GR","2020-06-12",720,1.12324492979719,1.12767074930637,"GUERRERO",23.0752501772542,3388768,0.212466595529703
"1826","GR","2020-06-13",747,1.13010590015129,1.12729693106295,"GUERRERO",23.1390996908867,3388768,0.220434092862067
